Date;Time;Pyranometer 0-2000 W/m² (W/m²);Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH)
4/19/21;12:00:00 AM;0.4;48.4;0.7;100.0
4/19/21;12:15:00 AM;0.0;47.8;0.3;100.0
4/19/21;12:30:00 AM;0.1;47.6;0.1;100.0
4/19/21;12:45:00 AM;0.0;47.5;0.1;100.0
4/19/21;1:00:00 AM;0.0;47.0;0.1;100.0
4/19/21;1:15:00 AM;0.0;47.1;0.1;100.0
4/19/21;1:30:00 AM;0.0;46.9;0.1;100.0
4/19/21;1:45:00 AM;0.0;46.3;0.1;100.0
4/19/21;2:00:00 AM;0.0;45.4;0.1;100.0
4/19/21;2:15:00 AM;0.3;45.6;0.1;100.0
4/19/21;2:30:00 AM;0.8;46.6;0.1;100.0
4/19/21;2:45:00 AM;0.1;46.5;0.1;100.0
4/19/21;3:00:00 AM;0.1;46.2;0.2;100.0
4/19/21;3:15:00 AM;0.2;46.2;0.2;100.0
4/19/21;3:30:00 AM;0.0;45.6;0.2;100.0
4/19/21;3:45:00 AM;0.0;45.3;0.2;100.0
4/19/21;4:00:00 AM;0.0;45.0;0.1;100.0
4/19/21;4:15:00 AM;0.0;44.7;0.1;100.0
4/19/21;4:30:00 AM;0.0;44.6;0.1;100.0
4/19/21;4:45:00 AM;0.0;44.5;0.1;100.0
4/19/21;5:00:00 AM;0.0;44.2;0.1;100.0
4/19/21;5:15:00 AM;0.3;44.6;0.1;100.0
4/19/21;5:30:00 AM;0.1;44.7;0.1;100.0
4/19/21;5:45:00 AM;0.1;44.3;0.1;100.0
4/19/21;6:00:00 AM;0.2;44.3;0.1;100.0
4/19/21;6:15:00 AM;0.0;43.8;0.1;100.0
4/19/21;6:30:00 AM;1.8;43.1;0.1;100.0
4/19/21;6:45:00 AM;7.8;43.4;0.1;100.0
4/19/21;7:00:00 AM;14.8;43.5;0.2;100.0
4/19/21;7:15:00 AM;33.4;43.4;0.1;100.0
4/19/21;7:30:00 AM;66.7;43.7;0.1;100.0
4/19/21;7:45:00 AM;95.2;44.1;0.1;100.0
4/19/21;8:00:00 AM;163.5;44.9;0.1;100.0
4/19/21;8:15:00 AM;226.1;45.5;0.1;100.0
4/19/21;8:30:00 AM;366.9;46.7;0.3;100.0
4/19/21;8:45:00 AM;427.2;48.1;0.4;100.0
4/19/21;9:00:00 AM;497.5;49.1;0.7;100.0
4/19/21;9:15:00 AM;554.9;51.0;1.2;100.0
4/19/21;9:30:00 AM;613.4;52.5;0.1;100.0
4/19/21;9:45:00 AM;668.8;53.9;1.0;99.5
4/19/21;10:00:00 AM;722.6;55.9;3.4;92.1
4/19/21;10:15:00 AM;769.4;57.7;1.7;86.1
4/19/21;10:30:00 AM;814.6;59.0;4.0;81.9
4/19/21;10:45:00 AM;856.0;60.1;3.9;80.8
4/19/21;11:00:00 AM;892.2;61.2;3.6;79.1
4/19/21;11:15:00 AM;922.7;62.3;3.4;77.5
4/19/21;11:30:00 AM;951.5;63.7;3.8;73.9
4/19/21;11:45:00 AM;976.7;64.1;4.8;72.0
4/19/21;12:00:00 PM;994.9;64.3;3.9;72.6
4/19/21;12:15:00 PM;1009.8;63.9;4.7;72.0
4/19/21;12:30:00 PM;1023.5;63.1;4.3;73.0
4/19/21;12:45:00 PM;1032.5;63.2;4.7;72.4
4/19/21;1:00:00 PM;1036.0;63.7;4.6;70.8
4/19/21;1:15:00 PM;1033.9;63.2;5.5;71.9
4/19/21;1:30:00 PM;1028.9;63.6;5.0;72.2
4/19/21;1:45:00 PM;1020.9;63.7;4.7;71.8
4/19/21;2:00:00 PM;1005.2;63.7;5.7;70.8
4/19/21;2:15:00 PM;984.3;64.0;4.9;70.0
4/19/21;2:30:00 PM;958.4;64.2;5.0;69.9
4/19/21;2:45:00 PM;932.3;63.3;5.8;70.0
4/19/21;3:00:00 PM;900.8;63.8;4.9;69.3
4/19/21;3:15:00 PM;864.8;63.6;4.5;69.6
4/19/21;3:30:00 PM;828.5;63.2;5.0;70.3
4/19/21;3:45:00 PM;787.7;63.1;4.9;69.8
4/19/21;4:00:00 PM;743.6;63.2;4.5;70.5
4/19/21;4:15:00 PM;693.9;63.2;4.9;69.8
4/19/21;4:30:00 PM;645.5;62.5;5.0;70.7
4/19/21;4:45:00 PM;594.4;61.7;5.1;71.5
4/19/21;5:00:00 PM;541.8;61.5;4.5;72.1
4/19/21;5:15:00 PM;486.9;61.0;4.7;72.6
4/19/21;5:30:00 PM;428.5;60.3;4.2;73.9
4/19/21;5:45:00 PM;370.1;59.3;4.4;76.1
4/19/21;6:00:00 PM;131.1;58.4;3.8;78.2
4/19/21;6:15:00 PM;138.2;57.9;5.2;79.2
4/19/21;6:30:00 PM;62.8;57.5;3.8;79.8
4/19/21;6:45:00 PM;48.6;56.3;3.6;82.7
4/19/21;7:00:00 PM;44.1;55.2;3.5;85.9
4/19/21;7:15:00 PM;25.0;54.2;3.2;88.3
4/19/21;7:30:00 PM;10.8;53.3;1.8;90.7
4/19/21;7:45:00 PM;1.3;52.5;0.1;93.7
4/19/21;8:00:00 PM;0.0;51.9;0.1;96.0
4/19/21;8:15:00 PM;0.0;51.4;0.1;97.5
4/19/21;8:30:00 PM;0.0;51.2;0.1;98.9
4/19/21;8:45:00 PM;0.0;50.6;0.1;99.7
4/19/21;9:00:00 PM;0.0;50.4;0.1;100.0
4/19/21;9:15:00 PM;0.0;50.0;0.1;100.0
4/19/21;9:30:00 PM;0.0;49.2;0.1;100.0
4/19/21;9:45:00 PM;0.0;49.2;0.1;100.0
4/19/21;10:00:00 PM;0.0;48.9;0.1;100.0
4/19/21;10:15:00 PM;0.0;48.3;0.1;100.0
4/19/21;10:30:00 PM;0.0;47.8;0.1;100.0
4/19/21;10:45:00 PM;0.0;47.1;0.1;100.0
4/19/21;11:00:00 PM;0.0;46.4;0.1;100.0
4/19/21;11:15:00 PM;0.0;46.5;0.1;100.0
4/19/21;11:30:00 PM;0.0;46.3;0.1;100.0
4/19/21;11:45:00 PM;0.0;46.1;0.1;100.0
4/20/21;12:00:00 AM;0.0;45.8;0.1;100.0
