Date;Time;Pyranometer 0-2000 W/m² (W/m²);Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH)
5/17/21;12:00:00 AM;0.0;53.9;0.1;92.7
5/17/21;12:15:00 AM;0.0;53.8;0.1;92.8
5/17/21;12:30:00 AM;0.1;53.6;0.1;93.3
5/17/21;12:45:00 AM;0.1;53.5;0.1;93.5
5/17/21;1:00:00 AM;0.2;53.5;0.1;93.6
5/17/21;1:15:00 AM;0.1;53.3;0.1;93.3
5/17/21;1:30:00 AM;0.1;53.3;0.1;92.7
5/17/21;1:45:00 AM;0.1;53.4;0.1;92.5
5/17/21;2:00:00 AM;0.1;53.3;0.1;92.7
5/17/21;2:15:00 AM;0.0;53.3;0.1;93.1
5/17/21;2:30:00 AM;0.1;53.2;0.1;93.2
5/17/21;2:45:00 AM;0.2;53.2;0.1;93.3
5/17/21;3:00:00 AM;0.1;53.2;0.1;93.5
5/17/21;3:15:00 AM;0.0;53.2;0.1;93.4
5/17/21;3:30:00 AM;0.0;53.1;0.1;93.9
5/17/21;3:45:00 AM;0.1;53.0;0.1;95.0
5/17/21;4:00:00 AM;0.0;52.8;0.1;95.6
5/17/21;4:15:00 AM;0.1;52.8;0.1;96.2
5/17/21;4:30:00 AM;0.1;52.7;0.1;95.8
5/17/21;4:45:00 AM;0.1;52.6;0.1;95.9
5/17/21;5:00:00 AM;0.1;52.5;0.1;96.5
5/17/21;5:15:00 AM;0.1;52.3;0.1;97.0
5/17/21;5:30:00 AM;0.0;52.1;0.1;97.5
5/17/21;5:45:00 AM;0.1;52.1;0.1;97.8
5/17/21;6:00:00 AM;0.5;52.0;0.1;98.2
5/17/21;6:15:00 AM;3.1;52.1;0.1;98.8
5/17/21;6:30:00 AM;6.7;52.2;0.1;99.7
5/17/21;6:45:00 AM;17.7;52.2;0.1;100.0
5/17/21;7:00:00 AM;27.7;52.1;0.1;100.0
5/17/21;7:15:00 AM;38.1;52.2;0.1;100.0
5/17/21;7:30:00 AM;42.8;52.1;0.1;100.0
5/17/21;7:45:00 AM;69.2;52.3;0.1;100.0
5/17/21;8:00:00 AM;107.5;52.7;0.1;100.0
5/17/21;8:15:00 AM;181.0;53.3;0.1;96.6
5/17/21;8:30:00 AM;163.3;53.9;0.1;93.4
5/17/21;8:45:00 AM;202.7;54.1;0.1;91.8
5/17/21;9:00:00 AM;224.8;54.8;0.1;90.6
5/17/21;9:15:00 AM;288.8;55.0;0.1;89.9
5/17/21;9:30:00 AM;306.0;56.2;0.1;87.0
5/17/21;9:45:00 AM;383.1;57.1;0.1;83.9
5/17/21;10:00:00 AM;459.3;58.2;0.1;82.7
5/17/21;10:15:00 AM;471.6;58.5;0.1;80.7
5/17/21;10:30:00 AM;424.2;58.3;0.1;82.7
5/17/21;10:45:00 AM;356.9;58.1;0.1;84.3
5/17/21;11:00:00 AM;380.5;58.0;2.7;85.5
5/17/21;11:15:00 AM;530.5;58.5;3.9;85.4
5/17/21;11:30:00 AM;791.3;59.5;4.7;83.2
5/17/21;11:45:00 AM;682.1;59.5;4.6;83.4
5/17/21;12:00:00 PM;622.9;60.2;4.7;82.2
5/17/21;12:15:00 PM;639.3;60.6;4.6;80.6
5/17/21;12:30:00 PM;587.0;60.2;5.5;81.1
5/17/21;12:45:00 PM;735.2;60.4;5.0;79.4
5/17/21;1:00:00 PM;920.0;61.6;5.0;78.9
5/17/21;1:15:00 PM;1010.9;61.9;5.2;76.8
5/17/21;1:30:00 PM;997.4;61.5;5.5;76.8
5/17/21;1:45:00 PM;1028.4;62.6;4.0;75.2
5/17/21;2:00:00 PM;1011.2;63.3;4.7;74.5
5/17/21;2:15:00 PM;993.8;62.9;4.6;74.5
5/17/21;2:30:00 PM;971.4;63.5;4.5;72.9
5/17/21;2:45:00 PM;945.0;64.1;4.1;73.0
5/17/21;3:00:00 PM;915.0;65.4;4.1;70.9
5/17/21;3:15:00 PM;881.5;64.5;5.1;71.9
5/17/21;3:30:00 PM;844.8;64.8;4.2;71.2
5/17/21;3:45:00 PM;804.1;64.3;5.5;71.1
5/17/21;4:00:00 PM;763.7;63.8;4.5;71.7
5/17/21;4:15:00 PM;719.4;63.2;5.5;72.1
5/17/21;4:30:00 PM;672.0;62.6;5.4;73.2
5/17/21;4:45:00 PM;620.7;61.9;5.2;74.4
5/17/21;5:00:00 PM;568.2;61.1;5.4;75.8
5/17/21;5:15:00 PM;514.5;60.7;4.9;77.1
5/17/21;5:30:00 PM;458.0;60.0;4.6;78.9
5/17/21;5:45:00 PM;404.0;60.1;4.3;78.5
5/17/21;6:00:00 PM;348.1;59.6;5.0;78.4
5/17/21;6:15:00 PM;291.5;59.6;4.3;78.3
5/17/21;6:30:00 PM;242.5;59.0;4.0;79.3
5/17/21;6:45:00 PM;153.7;57.5;3.3;82.6
5/17/21;7:00:00 PM;65.7;56.3;3.5;86.9
5/17/21;7:15:00 PM;78.8;55.8;3.7;88.8
5/17/21;7:30:00 PM;41.8;55.5;2.1;90.5
5/17/21;7:45:00 PM;15.8;55.1;3.1;91.7
5/17/21;8:00:00 PM;5.5;54.7;5.1;93.1
5/17/21;8:15:00 PM;1.1;54.6;3.0;94.0
5/17/21;8:30:00 PM;0.1;54.6;1.5;94.1
5/17/21;8:45:00 PM;0.1;54.4;1.8;94.7
5/17/21;9:00:00 PM;0.1;54.4;1.3;95.1
5/17/21;9:15:00 PM;0.1;54.2;0.9;95.9
5/17/21;9:30:00 PM;0.1;54.1;1.5;96.4
5/17/21;9:45:00 PM;0.1;53.9;0.2;97.4
5/17/21;10:00:00 PM;0.1;54.1;0.1;97.2
5/17/21;10:15:00 PM;0.1;53.9;0.1;97.3
5/17/21;10:30:00 PM;0.0;53.6;0.1;98.7
5/17/21;10:45:00 PM;0.0;53.5;0.1;98.8
5/17/21;11:00:00 PM;0.0;53.5;0.1;99.2
5/17/21;11:15:00 PM;0.1;53.5;0.1;99.3
5/17/21;11:30:00 PM;0.1;53.5;0.1;99.5
5/17/21;11:45:00 PM;0.0;53.3;0.1;99.9
5/18/21;12:00:00 AM;0.0;52.9;0.1;100.0
