Date;Time;Pyranometer 0-2000 W/m² (W/m²);Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH)
5/10/21;12:00:00 AM;0.0;52.0;0.1;99.8
5/10/21;12:15:00 AM;0.0;50.6;0.1;99.3
5/10/21;12:30:00 AM;0.0;50.3;0.1;100.0
5/10/21;12:45:00 AM;0.0;50.0;0.1;100.0
5/10/21;1:00:00 AM;0.0;49.4;0.1;100.0
5/10/21;1:15:00 AM;0.0;48.9;0.1;100.0
5/10/21;1:30:00 AM;0.0;48.6;0.1;100.0
5/10/21;1:45:00 AM;0.0;48.4;0.1;100.0
5/10/21;2:00:00 AM;0.0;48.8;0.1;100.0
5/10/21;2:15:00 AM;0.0;48.5;0.1;100.0
5/10/21;2:30:00 AM;0.0;48.6;0.1;100.0
5/10/21;2:45:00 AM;0.0;47.7;0.1;100.0
5/10/21;3:00:00 AM;0.0;47.4;0.1;100.0
5/10/21;3:15:00 AM;0.0;46.9;0.1;100.0
5/10/21;3:30:00 AM;0.0;47.2;0.1;100.0
5/10/21;3:45:00 AM;0.0;47.1;0.1;100.0
5/10/21;4:00:00 AM;0.4;47.9;0.1;100.0
5/10/21;4:15:00 AM;0.6;48.8;0.1;100.0
5/10/21;4:30:00 AM;0.3;49.5;0.1;100.0
5/10/21;4:45:00 AM;0.2;49.9;0.1;100.0
5/10/21;5:00:00 AM;0.3;49.8;0.1;100.0
5/10/21;5:15:00 AM;0.7;50.0;0.1;100.0
5/10/21;5:30:00 AM;0.8;50.1;0.4;100.0
5/10/21;5:45:00 AM;0.5;50.1;0.1;100.0
5/10/21;6:00:00 AM;1.0;50.1;0.1;100.0
5/10/21;6:15:00 AM;4.5;50.2;0.9;100.0
5/10/21;6:30:00 AM;12.2;50.5;2.5;100.0
5/10/21;6:45:00 AM;19.9;50.8;2.1;100.0
5/10/21;7:00:00 AM;27.0;51.1;0.1;100.0
5/10/21;7:15:00 AM;43.2;51.5;0.1;100.0
5/10/21;7:30:00 AM;60.8;51.9;3.0;100.0
5/10/21;7:45:00 AM;75.3;52.4;2.3;99.8
5/10/21;8:00:00 AM;98.5;53.1;0.1;99.3
5/10/21;8:15:00 AM;126.2;53.6;3.6;98.1
5/10/21;8:30:00 AM;198.6;54.0;4.1;97.0
5/10/21;8:45:00 AM;255.7;54.9;4.2;94.9
5/10/21;9:00:00 AM;422.2;56.1;4.8;92.1
5/10/21;9:15:00 AM;459.5;57.4;4.0;88.6
5/10/21;9:30:00 AM;604.3;58.4;4.1;86.0
5/10/21;9:45:00 AM;697.5;58.8;5.4;83.6
5/10/21;10:00:00 AM;725.3;59.3;4.3;83.2
5/10/21;10:15:00 AM;783.4;60.5;4.5;80.7
5/10/21;10:30:00 AM;838.0;61.4;3.7;78.7
5/10/21;10:45:00 AM;862.7;61.6;4.2;78.3
5/10/21;11:00:00 AM;893.8;61.5;4.2;79.7
5/10/21;11:15:00 AM;925.2;63.1;3.6;75.3
5/10/21;11:30:00 AM;955.0;64.0;4.1;73.5
5/10/21;11:45:00 AM;978.6;64.6;4.1;72.6
5/10/21;12:00:00 PM;999.0;65.9;3.7;69.9
5/10/21;12:15:00 PM;1016.3;66.3;4.1;69.5
5/10/21;12:30:00 PM;1033.1;67.1;4.5;68.1
5/10/21;12:45:00 PM;1032.2;67.0;5.5;68.1
5/10/21;1:00:00 PM;1030.7;67.0;4.8;67.9
