Date;Time;Pyranometer 0-2000 W/m² (W/m²);Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH)
5/10/21;1:15:00 PM;1027.2;67.8;3.8;67.6
5/10/21;1:30:00 PM;1023.5;68.2;3.8;67.8
5/10/21;1:45:00 PM;1014.9;67.2;5.9;68.2
5/10/21;2:00:00 PM;1003.4;67.1;5.0;68.4
5/10/21;2:15:00 PM;984.1;67.8;4.3;67.5
5/10/21;2:30:00 PM;961.6;68.4;3.9;66.7
5/10/21;2:45:00 PM;935.0;68.5;4.5;66.3
5/10/21;3:00:00 PM;901.2;69.1;4.8;65.7
5/10/21;3:15:00 PM;866.3;68.8;5.3;66.1
5/10/21;3:30:00 PM;825.8;68.9;4.2;65.7
5/10/21;3:45:00 PM;783.8;68.2;4.8;66.2
5/10/21;4:00:00 PM;738.6;68.3;3.9;66.5
5/10/21;4:15:00 PM;691.8;68.1;4.6;66.3
5/10/21;4:30:00 PM;640.4;67.8;4.4;66.5
5/10/21;4:45:00 PM;588.1;68.4;3.3;66.2
5/10/21;5:00:00 PM;534.8;67.7;4.4;66.4
5/10/21;5:15:00 PM;481.5;67.4;4.1;66.9
5/10/21;5:30:00 PM;426.4;66.6;4.8;67.7
5/10/21;5:45:00 PM;369.5;66.3;4.4;68.4
5/10/21;6:00:00 PM;312.1;66.4;3.5;68.2
5/10/21;6:15:00 PM;257.1;65.6;3.6;69.0
5/10/21;6:30:00 PM;204.1;65.2;3.6;69.6
5/10/21;6:45:00 PM;154.7;64.4;3.3;71.0
5/10/21;7:00:00 PM;79.4;63.5;2.9;72.5
5/10/21;7:15:00 PM;37.6;61.8;3.8;75.7
5/10/21;7:30:00 PM;22.7;59.8;3.4;79.8
5/10/21;7:45:00 PM;10.9;58.8;2.0;82.3
5/10/21;8:00:00 PM;1.3;57.6;0.3;84.6
5/10/21;8:15:00 PM;0.0;56.4;0.1;87.8
5/10/21;8:30:00 PM;0.0;55.5;0.3;90.2
5/10/21;8:45:00 PM;0.0;54.8;0.1;92.0
5/10/21;9:00:00 PM;0.0;54.0;0.1;94.0
5/10/21;9:15:00 PM;0.0;53.7;0.1;95.4
5/10/21;9:30:00 PM;0.0;53.4;0.1;96.5
5/10/21;9:45:00 PM;0.0;53.1;0.1;97.4
5/10/21;10:00:00 PM;0.0;52.7;0.1;98.3
5/10/21;10:15:00 PM;0.0;52.0;0.1;99.4
5/10/21;10:30:00 PM;0.0;51.6;0.1;100.0
5/10/21;10:45:00 PM;0.0;51.0;0.1;100.0
5/10/21;11:00:00 PM;0.0;50.6;0.1;100.0
5/10/21;11:15:00 PM;0.0;50.4;0.1;100.0
5/10/21;11:30:00 PM;0.0;49.9;0.1;100.0
5/10/21;11:45:00 PM;0.0;49.6;0.1;100.0
5/11/21;12:00:00 AM;0.0;49.3;0.1;100.0
