Date;Time;Pyranometer_W_m;Temperature_F;Wind_Speed_mph;RH_percent
4/26/21;12:00:00 AM;0.5;49.6;0.1;100.0
4/26/21;12:15:00 AM;0.3;49.7;0.1;100.0
4/26/21;12:30:00 AM;0.3;49.8;0.1;100.0
4/26/21;12:45:00 AM;0.6;50.0;0.1;100.0
4/26/21;1:00:00 AM;0.4;50.0;0.1;100.0
4/26/21;1:15:00 AM;0.7;50.2;0.1;100.0
4/26/21;1:30:00 AM;0.9;50.4;0.1;100.0
4/26/21;1:45:00 AM;0.7;50.5;0.1;100.0
4/26/21;2:00:00 AM;0.5;50.5;0.1;100.0
4/26/21;2:15:00 AM;0.2;50.5;0.1;100.0
4/26/21;2:30:00 AM;0.4;50.5;0.1;100.0
4/26/21;2:45:00 AM;0.5;50.4;0.1;100.0
4/26/21;3:00:00 AM;0.5;50.5;0.1;100.0
4/26/21;3:15:00 AM;0.3;50.5;0.1;100.0
4/26/21;3:30:00 AM;0.3;50.7;0.1;100.0
4/26/21;3:45:00 AM;0.1;50.8;0.1;100.0
4/26/21;4:00:00 AM;0.1;50.8;0.1;100.0
4/26/21;4:15:00 AM;0.0;50.5;0.1;100.0
4/26/21;4:30:00 AM;0.0;49.8;0.1;100.0
4/26/21;4:45:00 AM;0.0;48.6;0.1;100.0
4/26/21;5:00:00 AM;0.5;48.3;0.1;100.0
4/26/21;5:15:00 AM;0.7;48.5;0.1;100.0
4/26/21;5:30:00 AM;0.6;48.6;0.1;100.0
4/26/21;5:45:00 AM;0.2;48.8;0.1;100.0
4/26/21;6:00:00 AM;0.0;48.9;0.1;100.0
4/26/21;6:15:00 AM;0.5;48.9;0.1;100.0
4/26/21;6:30:00 AM;4.1;48.4;0.1;100.0
4/26/21;6:45:00 AM;18.3;48.2;0.1;100.0
4/26/21;7:00:00 AM;31.9;48.9;0.1;100.0
4/26/21;7:15:00 AM;51.7;49.2;0.1;100.0
4/26/21;7:30:00 AM;111.0;50.0;0.1;100.0
4/26/21;7:45:00 AM;118.8;50.8;2.5;100.0
4/26/21;8:00:00 AM;108.2;50.6;2.0;100.0
4/26/21;8:15:00 AM;123.2;50.8;1.6;100.0
4/26/21;8:30:00 AM;102.8;51.1;0.1;98.2
4/26/21;8:45:00 AM;439.5;53.2;0.1;96.3
4/26/21;9:00:00 AM;542.2;55.8;1.5;80.9
4/26/21;9:15:00 AM;620.6;57.2;2.1;72.5
4/26/21;9:30:00 AM;471.2;57.2;2.2;70.8
4/26/21;9:45:00 AM;409.7;57.4;3.7;69.5
4/26/21;10:00:00 AM;217.2;56.3;3.2;72.2
4/26/21;10:15:00 AM;278.7;56.0;3.4;73.3
4/26/21;10:30:00 AM;289.1;56.4;3.3;74.2
4/26/21;10:45:00 AM;691.2;57.5;3.4;73.2
4/26/21;11:00:00 AM;649.8;57.6;4.9;72.5
4/26/21;11:15:00 AM;740.9;59.1;4.6;70.6
4/26/21;11:30:00 AM;705.2;58.8;5.3;71.9
4/26/21;11:45:00 AM;866.0;58.4;5.8;72.0
4/26/21;12:00:00 PM;939.1;59.4;4.3;70.2
4/26/21;12:15:00 PM;1048.8;60.3;5.0;68.5
4/26/21;12:30:00 PM;1084.0;60.3;4.4;67.7
4/26/21;12:45:00 PM;1088.5;60.7;4.2;66.7
4/26/21;1:00:00 PM;1064.6;60.7;4.6;65.5
4/26/21;1:15:00 PM;1057.4;60.9;4.8;65.8
4/26/21;1:30:00 PM;1039.2;60.7;4.5;64.8
4/26/21;1:45:00 PM;1025.7;61.1;4.3;62.3
4/26/21;2:00:00 PM;1014.8;61.5;5.1;59.8
4/26/21;2:15:00 PM;995.4;61.2;6.1;60.1
4/26/21;2:30:00 PM;973.5;62.1;5.0;58.4
4/26/21;2:45:00 PM;947.2;62.1;4.6;56.1
4/26/21;3:00:00 PM;915.9;61.6;5.4;55.4
4/26/21;3:15:00 PM;881.5;61.7;5.6;55.4
4/26/21;3:30:00 PM;842.8;61.3;6.0;56.1
4/26/21;3:45:00 PM;803.5;60.4;6.2;57.2
4/26/21;4:00:00 PM;760.5;59.3;7.8;56.6
4/26/21;4:15:00 PM;713.3;59.4;6.1;58.6
4/26/21;4:30:00 PM;662.7;59.0;6.0;61.8
4/26/21;4:45:00 PM;611.9;58.4;5.8;65.8
4/26/21;5:00:00 PM;559.5;58.5;4.8;67.4
4/26/21;5:15:00 PM;505.8;58.3;5.1;68.3
4/26/21;5:30:00 PM;446.4;57.9;4.7;69.1
4/26/21;5:45:00 PM;388.5;56.9;5.0;70.4
4/26/21;6:00:00 PM;328.7;56.3;5.0;71.3
4/26/21;6:15:00 PM;180.3;55.5;5.0;72.8
4/26/21;6:30:00 PM;49.7;54.4;4.8;75.4
4/26/21;6:45:00 PM;98.6;54.3;4.5;76.6
4/26/21;7:00:00 PM;81.0;53.7;4.1;77.9
4/26/21;7:15:00 PM;21.6;52.5;3.3;81.8
4/26/21;7:30:00 PM;13.1;51.9;4.2;84.5
4/26/21;7:45:00 PM;3.1;51.4;2.4;85.8
4/26/21;8:00:00 PM;0.0;51.0;0.7;87.0
4/26/21;8:15:00 PM;0.0;50.5;0.1;87.8
4/26/21;8:30:00 PM;0.0;50.1;0.1;89.2
4/26/21;8:45:00 PM;0.0;49.7;0.1;90.4
4/26/21;9:00:00 PM;0.0;49.1;0.1;91.0
4/26/21;9:15:00 PM;0.0;48.3;0.1;93.0
4/26/21;9:30:00 PM;0.0;47.6;0.1;95.4
4/26/21;9:45:00 PM;0.0;46.9;0.1;96.9
4/26/21;10:00:00 PM;0.0;46.6;0.1;98.2
4/26/21;10:15:00 PM;0.0;46.3;0.1;98.5
4/26/21;10:30:00 PM;0.0;45.6;0.1;98.9
4/26/21;10:45:00 PM;0.0;45.1;0.1;99.8
4/26/21;11:00:00 PM;0.0;44.9;0.1;100.0
4/26/21;11:15:00 PM;0.0;44.6;0.1;100.0
4/26/21;11:30:00 PM;0.1;44.8;0.1;100.0
4/26/21;11:45:00 PM;0.3;45.8;0.1;100.0
4/27/21;12:00:00 AM;0.0;46.4;0.1;100.0
