"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",368.294322927167,10.0949913766668,36.4828764270598,4.48467290605238,1.01210420087086e-06
"2","fixed",NA,"dayMid",-17.1764705882349,6.80641224866091,-2.52357188496982,92.9511107591413,0.0133142302023167
"3","fixed",NA,"dayAfter",3.89805790897796,7.03862810875831,0.553809328855935,92.9718897006455,0.581038875554251
"4","fixed",NA,"humidity_tmt_percenthumid",10.2149493910569,6.71315809750501,1.52163098837987,92.9557432273856,0.13149614644427
"5","fixed",NA,"dayMid:humidity_tmt_percenthumid",-12.3235294117653,9.49108842094415,-1.29843163030393,92.9511107619989,0.197351325952112
"6","fixed",NA,"dayAfter:humidity_tmt_percenthumid",-17.7833294555435,9.72079715434475,-1.82941061038344,92.9544131409446,0.070543972502939
"7","ran_pars","trial_number","sd__(Intercept)",17.7062166127318,NA,NA,NA,NA
"8","ran_pars","Residual","sd__Observation",19.8439311992138,NA,NA,NA,NA
