"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-65.8827282905428,105.133503962944,139,-0.626657780889377,0.531911432013347
"RH_percent_interpol",4.16214175845533,1.5562589311461,139,2.67445325142015,0.00838282359803427
"temp_C_interpol",20.0814287627123,5.15384345816822,139,3.89639866358099,0.0001511881303674
"RH_percent_interpol:temp_C_interpol",-0.179985288615764,0.0837636137702158,139,-2.14872879182969,0.0333884748552984
