"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-38.2503662031099,8.62319179030921,530,-4.4357550119778,1.11628732783364e-05
"regiondors",1.15860333903255,1.272984365298,530,0.910147344002395,0.363158532938359
"regionhead",7.35470463720234,1.27019951378398,530,5.79019638835507,1.20538233970426e-08
"regionmite",6.51813607766428,1.28378355527218,530,5.07728584845625,5.30981854881343e-07
"regionvent",10.6300614497295,1.27293411575149,530,8.35083396555368,5.94897026152879e-16
"mass_g",0.781553189296727,0.225136021550444,133,3.47147108629887,0.000698567683671326
"cloacal_temp_C",2.16641393340977,0.335371729054064,133,6.45973928547964,1.81734223597119e-09
