"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-42.7468256961778,9.14185920887342,525,-4.67594443531642,3.72556823945343e-06
"regiondors",12.0823087563596,4.95521811800244,525,2.43830008460459,0.0150870551104714
"regionhead",24.4910799254012,4.8858399552634,525,5.01266520181806,7.3513129877576e-07
"regionmite",2.344993338369,5.14537943583445,525,0.455747407477385,0.648760070150346
"regionvent",8.84173569286322,4.92064548592289,525,1.7968650084949,0.0729317089106971
"cloacal_temp_C",2.15358557460116,0.335807876857152,134,6.41314788311909,2.2565856294953e-09
"regiondewl:mass_g",1.23162687670287,0.364106299501762,525,3.38260249379977,0.00077159664059224
"regiondors:mass_g",0.205440817722679,0.361834257551711,525,0.567776028485413,0.570429782690346
"regionhead:mass_g",-0.387409411824044,0.355843058287743,525,-1.08870863938781,0.276781898156123
"regionmite:mass_g",1.61538085837038,0.383231571413086,525,4.21515600192856,2.93893188069863e-05
"regionvent:mass_g",1.40178397713359,0.358169589651393,525,3.91374370587395,0.000102839078390352
