"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",385.410790945511,37.3472164472754,10.3196657638357,71.1521148760867,8.80314968147463e-16
"2","fixed",NA,"VPD_kPa_int",4.10086679613954,15.4237641694824,0.265879765216688,72.0743674870648,0.791090895679888
"3","fixed",NA,"Wind_mph_interpol",-11.5823831793892,3.56117889901133,-3.25240138388015,112.702872062045,0.00151006001853254
"4","fixed",NA,"Solar_rad_Wm2_interpol",0.0565649803590829,0.0367407280402897,1.53957157019464,85.3171473415291,0.127365656679112
"5","fixed",NA,"SMI",-0.639685653740864,1.24861634406808,-0.51231561782759,109.246945685496,0.609464343650377
"6","fixed",NA,"SVL_mm",-0.0734593896149163,0.292468671513545,-0.251170114169012,109.900931793794,0.802151611096104
"7","fixed",NA,"sex_M_FM",-4.92854046145496,3.6175244582197,-1.36240694938673,108.4825699512,0.175891387634438
"8","ran_pars","date","sd__(Intercept)",30.4968566326147,NA,NA,NA,NA
"9","ran_pars","hemolyzed","sd__(Intercept)",4.39683484252244,NA,NA,NA,NA
"10","ran_pars","Residual","sd__Observation",16.8717379379367,NA,NA,NA,NA
